city,city_ascii,lat,lng,admin_name,population,admin_name_english
Orzesze,Orzesze,"50,15","18,75",Śląskie,21631,Silesia
Łaziska Górne,Laziska Gorne,"50,15","18,85",Śląskie,21592,Silesia
Jawor,Jawor,"51,05","16,2",Dolnośląskie,21494,Lower Silesia
Świedbodzin,Swiedbodzin,"52,25","15,5333",Lubuskie,21399,Lubusz
Grajewo,Grajewo,"53,65","22,45",Podlaskie,21395,Podlaskie
Zambrów,Zambrow,"52,9833","22,25",Podlaskie,21351,Podlaskie
Mrągowo,Mragowo,"53,8667","21,3",Warmińsko-Mazurskie,21325,Warmian-Masurian
Wieluń,Wielun,"51,2206","18,57",Łódzkie,21270,Łódź Voivodeship
Nowa Ruda,Nowa Ruda,"50,5833","16,5",Dolnośląskie,21264,Lower Silesia
Sulejówek,Sulejowek,"52,2442","21,28",Mazowieckie,21248,Mazovia
Józefów,Jozefow,"52,1356","21,2369",Mazowieckie,21035,Mazovia
Działdowo,Dzialdowo,"53,2333","20,1833",Warmińsko-Mazurskie,20670,Warmian-Masurian
Lubartów,Lubartow,"51,4667","22,6",Lubelskie,20494,Lublin Voivodeship
Koło,Kolo,"52,2","18,6333",Wielkopolskie,20380,Greater Poland
Rawicz,Rawicz,"51,6092","16,8575",Wielkopolskie,20305,Greater Poland
Gryfino,Gryfino,"53,2531","14,4875",Zachodniopomorskie,20297,West Pomerania
Gostyń,Gostyn,"51,8792","17,0125",Wielkopolskie,20210,Greater Poland
Lubań,Luban,"51,1181","15,2889",Dolnośląskie,20096,Lower Silesia
Prudnik,Prudnik,"50,3228","17,5767",Opolskie,19747,Opole Voivodeship
Opoczno,Opoczno,"51,3772","20,2869",Łódzkie,19738,Łódź Voivodeship
Hajnówka,Hajnowka,"52,7333","23,5667",Podlaskie,19667,Podlaskie
Bieruń,Bierun,"50,1333","19,1",Śląskie,19334,Silesia
Pułtusk,Pultusk,"52,7","21,0833",Mazowieckie,19327,Mazovia
Andrychów,Andrychow,"49,855","19,3414",Małopolskie,19203,Lesser Poland
Trzebinia,Trzebinia,"50,1667","19,4833",Małopolskie,19134,Lesser Poland
Bieruń Stary,Bierun Stary,"50,0897","19,0928",Śląskie,19100,Silesia
Konstantynów Łódzki,Konstantynow Lodzki,"51,75","19,3333",Łódzkie,18960,Łódź Voivodeship
Chełmno,Chelmno,"53,3492","18,4231",Kujawsko-Pomorskie,18837,Kuyavian-Pomeranian
Złotów,Zlotow,"53,3603","17,0408",Wielkopolskie,18768,Greater Poland
Ozorków,Ozorkow,"51,9667","19,2833",Łódzkie,18721,Łódź Voivodeship
Szamotuły,Szamotuly,"52,6","16,5833",Wielkopolskie,18639,Greater Poland
Tomaszów Lubelski,Tomaszow Lubelski,"50,45","23,4167",Lubelskie,18567,Lublin Voivodeship
Sokołów Podlaski,Sokolow Podlaski,"52,4067","22,2464",Mazowieckie,18526,Mazovia
Giszowiec,Giszowiec,"50,2236","19,0694",Śląskie,18475,Silesia
Pisz,Pisz,"53,6167","21,8",Warmińsko-Mazurskie,18245,Warmian-Masurian
Łęczna,Leczna,"51,3","22,8833",Lubelskie,18234,Lublin Voivodeship
Zielonka,Zielonka,"52,3008","21,1586",Mazowieckie,18219,Mazovia
Końskie,Konskie,"51,2","20,4167",Świętokrzyskie,18201,Holy Cross
Łomianki,Lomianki,"52,3333","20,8833",Mazowieckie,18124,Mazovia
Kęty,Kety,"49,9","19,2167",Małopolskie,18067,Lesser Poland
Myślenice,Myslenice,"49,8347","19,9389",Małopolskie,18051,Lesser Poland
Chodzież,Chodziez,"52,9833","16,9",Wielkopolskie,18044,Greater Poland
Jasien,Jasien,"54,3667","18,6333",Pomorskie,18014,Pomerania
Kamienna Góra,Kamienna Gora,"50,7833","16,0333",Dolnośląskie,17998,Lower Silesia
Wadowice,Wadowice,"49,8833","19,5",Małopolskie,17905,Lesser Poland
Kostrzyn nad Odrą,Kostrzyn nad Odra,"52,5883","14,6667",Lubuskie,17899,Lubusz
Łańcut,Lancut,"50,0667","22,2333",Podkarpackie,17768,Subcarpathian
Oborniki,Oborniki,"52,65","16,8167",Wielkopolskie,17629,Greater Poland
Gostynin,Gostynin,"52,4167","19,4667",Mazowieckie,17624,Mazovia
Nakło nad Notecią,Naklo nad Notecia,"53,1403","17,5928",Kujawsko-Pomorskie,17620,Kuyavian-Pomeranian
Sokółka,Sokolka,"53,4","23,5",Podlaskie,17616,Podlaskie
Krasnystaw,Krasnystaw,51,"23,1667",Lubelskie,17519,Lublin Voivodeship
Strzelce Opolskie,Strzelce Opolskie,"50,5","18,2833",Opolskie,17512,Opole Voivodeship
Międzyrzecz,Miedzyrzecz,"52,4483","15,5883",Lubuskie,17400,Lubusz
Pyskowice,Pyskowice,"50,3833","18,6167",Śląskie,17394,Silesia
Sierpc,Sierpc,"52,8833","19,6667",Mazowieckie,17308,Mazovia
Garwolin,Garwolin,"51,9","21,6333",Mazowieckie,17279,Mazovia
Konstancin-Jeziorna,Konstancin-Jeziorna,"52,0833","21,1167",Mazowieckie,17157,Mazovia
Grójec,Grojec,"51,8656","20,8675",Mazowieckie,17037,Mazovia
Namysłów,Namyslow,"51,0728","17,7069",Opolskie,16942,Opole Voivodeship
Pleszew,Pleszew,"51,8833","17,7833",Wielkopolskie,16872,Greater Poland
Hrubieszów,Hrubieszow,"50,8167","23,8833",Lubelskie,16832,Lublin Voivodeship
Trzcianka,Trzcianka,"53,05","16,4667",Wielkopolskie,16831,Greater Poland
Pionki,Pionki,"51,4833","21,45",Mazowieckie,16779,Mazovia
Bytów,Bytow,"54,1333","17,5",Pomorskie,16739,Pomerania
Przasnysz,Przasnysz,"53,0167","20,8833",Mazowieckie,16662,Mazovia
Bogatynia,Bogatynia,"50,9069","14,9569",Dolnośląskie,16647,Lower Silesia
Łask,Lask,"51,5903","19,1333",Łódzkie,16576,Łódź Voivodeship
Bogucice,Bogucice,"50,2668","19,0397",Śląskie,16538,Silesia
Słubice,Slubice,"52,35","14,5667",Lubuskie,16495,Lubusz
Milanówek,Milanowek,"52,1167","20,65",Mazowieckie,16490,Mazovia
Braniewo,Braniewo,"54,3833","19,8333",Warmińsko-Mazurskie,16480,Warmian-Masurian
Rawa Mazowiecka,Rawa Mazowiecka,"51,7658","20,2533",Łódzkie,16429,Łódź Voivodeship
